,data_path,case_name
0,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_03216,MIX_03216
1,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_01472,MIX_01472
2,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_01640,MIX_01640
3,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_01142,MIX_01142
4,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_03216,MIX_03216
5,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_04517,MIX_04517
6,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_05644,MIX_05644
7,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_04856,MIX_04856
8,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_00927,MIX_00927
9,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_01640,MIX_01640
10,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_03324,MIX_03324
11,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_00485,MIX_00485
12,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_03102,MIX_03102
13,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_00994,MIX_00994
14,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_02377,MIX_02377
15,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_05556,MIX_05556
16,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_02545,MIX_02545
17,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_04984,MIX_04984
18,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_05161,MIX_05161
19,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_03571,MIX_03571
20,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_02532,MIX_02532
21,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_03399,MIX_03399
22,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_00661,MIX_00661
23,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_00059,MIX_00059
24,../../../data/uls2023_oversampled_seg/ULS2023_Training_Data_Oversampling/MIX_05343,MIX_05343
